permno,date,prc,ret
14593.0,1987-06-15,78.5,-0.006329114083200693
14593.0,1987-06-16,41.5,0.0573248416185379
14593.0,1987-06-17,40.5,-0.024096384644508362
14593.0,1987-06-18,41.5,0.02469135820865631
14593.0,1987-06-19,41.0,-0.012048192322254181
14593.0,1987-06-22,42.0,0.024390242993831635
14593.0,1987-06-23,41.25,-0.01785714365541935
14593.0,1987-06-24,42.0,0.0181818176060915
14593.0,1987-06-25,40.5,-0.0357142873108387
14593.0,1987-06-26,40.5,0.0
14593.0,1987-06-29,40.75,0.006172839552164078
14593.0,1987-06-30,40.5,-0.0061349691823124886
14593.0,1987-07-01,40.0,-0.012345679104328156
14593.0,1987-07-02,40.625,0.015625
14593.0,1987-07-06,40.75,0.003076923079788685
14593.0,1987-07-07,39.25,-0.03680981695652008
14593.0,1987-07-08,37.25,-0.05095541477203369
14593.0,1987-07-09,37.75,0.01342281885445118
14593.0,1987-07-10,38.0,0.0066225165501236916
14593.0,1987-07-13,40.5,0.06578947603702545
14593.0,1987-07-14,43.0,0.06172839552164078
14593.0,1987-07-15,44.0,0.023255813866853714
14593.0,1987-07-16,44.0,0.0
14593.0,1987-07-17,43.25,-0.017045455053448677
14593.0,1987-07-20,41.75,-0.034682080149650574
14593.0,1987-07-21,41.375,-0.008982036262750626
14593.0,1987-07-22,42.5,0.027190333232283592
14593.0,1987-07-23,41.75,-0.01764705963432789
14593.0,1987-07-24,42.5,0.01796407252550125
14593.0,1987-07-27,42.25,-0.0058823530562222
14593.0,1987-07-28,41.875,-0.008875739760696888
14593.0,1987-07-29,41.0,-0.020895522087812424
14593.0,1987-07-30,41.5,0.012195121496915817
14593.0,1987-07-31,41.25,-0.0060240961611270905
14593.0,1987-08-03,40.25,-0.024242423474788666
14593.0,1987-08-04,42.25,0.04968944191932678
14593.0,1987-08-05,43.25,0.023668639361858368
14593.0,1987-08-06,46.25,0.06936416029930115
14593.0,1987-08-07,46.5,0.0054054055362939835
14593.0,1987-08-10,48.25,0.03892473131418228
14593.0,1987-08-11,49.5,0.02590673603117466
14593.0,1987-08-12,48.75,-0.01515151560306549
14593.0,1987-08-13,49.0,0.0051282052882015705
14593.0,1987-08-14,49.0,0.0
14593.0,1987-08-17,49.5,0.010204081423580647
14593.0,1987-08-18,48.75,-0.01515151560306549
14593.0,1987-08-19,50.0,0.025641025975346565
14593.0,1987-08-20,51.75,0.03500000014901161
14593.0,1987-08-21,53.0,0.02415458858013153
14593.0,1987-08-24,52.25,-0.014150943607091904
14593.0,1987-08-25,52.0,-0.0047846888191998005
14593.0,1987-08-26,52.0,0.0
14593.0,1987-08-27,52.0,0.0
14593.0,1987-08-28,52.0,0.0
14593.0,1987-08-31,54.0,0.03846153989434242
14593.0,1987-09-01,52.5,-0.02777777798473835
14593.0,1987-09-02,52.0,-0.009523809887468815
14593.0,1987-09-03,51.25,-0.014423076994717121
14593.0,1987-09-04,50.5,-0.014634146355092525
14593.0,1987-09-08,49.875,-0.012376237660646439
14593.0,1987-09-09,52.75,0.057644110172986984
14593.0,1987-09-10,53.75,0.01895734667778015
14593.0,1987-09-11,54.5,0.013953488320112228
14593.0,1987-09-14,53.0,-0.027522936463356018
14593.0,1987-09-15,51.75,-0.02358490601181984
14593.0,1987-09-16,51.75,0.0
14593.0,1987-09-17,52.0,0.004830917809158564
14593.0,1987-09-18,51.75,-0.004807692486792803
14593.0,1987-09-21,50.25,-0.028985507786273956
14593.0,1987-09-22,54.125,0.07711442559957504
14593.0,1987-09-23,55.25,0.020785219967365265
14593.0,1987-09-24,56.5,0.022624434903264046
14593.0,1987-09-25,57.5,0.017699114978313446
14593.0,1987-09-28,55.75,-0.030434781685471535
14593.0,1987-09-29,54.5,-0.022421523928642273
14593.0,1987-09-30,56.5,0.03669724613428116
14593.0,1987-10-01,58.25,0.03097345121204853
14593.0,1987-10-02,58.5,0.004291845485568047
14593.0,1987-10-05,59.25,0.012820512987673283
14593.0,1987-10-06,55.75,-0.05907173082232475
14593.0,1987-10-07,55.5,-0.0044843051582574844
14593.0,1987-10-08,54.25,-0.022522522136569023
14593.0,1987-10-09,54.125,-0.0023041474632918835
14593.0,1987-10-12,53.25,-0.016166280955076218
14593.0,1987-10-13,54.5,0.023474179208278656
14593.0,1987-10-14,53.25,-0.0229357797652483
14593.0,1987-10-15,52.0,-0.023474179208278656
14593.0,1987-10-16,48.25,-0.07211538404226303
14593.0,1987-10-19,36.5,-0.24352331459522247
14593.0,1987-10-20,34.5,-0.054794520139694214
14593.0,1987-10-21,40.75,0.18115942180156708
14593.0,1987-10-22,36.75,-0.09815950691699982
14593.0,1987-10-23,35.5,-0.03401360660791397
14593.0,1987-10-26,28.0,-0.2112676054239273
14593.0,1987-10-27,30.25,0.0803571417927742
14593.0,1987-10-28,33.5,0.10743801295757294
14593.0,1987-10-29,39.5,0.17910447716712952
14593.0,1987-10-30,38.625,-0.022151898592710495
14593.0,1987-11-02,38.75,0.0032362460624426603
14593.0,1987-11-03,36.25,-0.06451612710952759
14593.0,1987-11-04,36.0,-0.006896551698446274
14593.0,1987-11-05,38.0,0.0555555559694767
14593.0,1987-11-06,37.75,-0.00657894741743803
14593.0,1987-11-09,37.25,-0.013245033100247383
14593.0,1987-11-10,36.25,-0.02684563770890236
14593.0,1987-11-11,37.25,0.027586206793785095
14593.0,1987-11-12,38.75,0.04026845470070839
14593.0,1987-11-13,37.25,-0.03870967775583267
14593.0,1987-11-16,36.75,-0.01342281885445118
14593.0,1987-11-17,35.0,-0.04544217884540558
14593.0,1987-11-18,36.25,0.0357142873108387
14593.0,1987-11-19,34.5,-0.04827586188912392
14593.0,1987-11-20,35.5,0.028985507786273956
14593.0,1987-11-23,36.25,0.0211267601698637
14593.0,1987-11-24,37.0,0.02068965509533882
14593.0,1987-11-25,36.5,-0.013513513840734959
14593.0,1987-11-27,35.0,-0.04109589010477066
14593.0,1987-11-30,33.0,-0.05714285746216774
14593.0,1987-12-01,33.25,0.007575757801532745
14593.0,1987-12-02,32.5,-0.02255639061331749
14593.0,1987-12-03,30.5,-0.0615384615957737
14593.0,1987-12-04,30.75,0.008196720853447914
14593.0,1987-12-07,33.0,0.0731707289814949
14593.0,1987-12-08,34.5,0.04545454680919647
14593.0,1987-12-09,35.0,0.014492753893136978
14593.0,1987-12-10,34.75,-0.0071428571827709675
14593.0,1987-12-11,34.0,-0.02158273383975029
14593.0,1987-12-14,37.25,0.09558823704719543
14593.0,1987-12-15,37.5,0.00671140942722559
14593.0,1987-12-16,39.25,0.046666666865348816
14593.0,1987-12-17,39.25,0.0
14593.0,1987-12-18,40.5,0.03184713423252106
14593.0,1987-12-21,41.75,0.03086419776082039
14593.0,1987-12-22,41.5,-0.005988024175167084
14593.0,1987-12-23,42.25,0.01807228848338127
14593.0,1987-12-24,42.625,0.008875739760696888
14593.0,1987-12-28,40.25,-0.055718474090099335
14593.0,1987-12-29,42.125,0.04658384993672371
14593.0,1987-12-30,43.375,0.029673591256141663
14593.0,1987-12-31,42.0,-0.03170028701424599
14593.0,1988-01-04,44.75,0.065476194024086
14593.0,1988-01-05,44.625,-0.002793296007439494
14593.0,1988-01-06,43.75,-0.019607843831181526
14593.0,1988-01-07,44.5,0.017142856493592262
14593.0,1988-01-08,40.0,-0.10112359374761581
14593.0,1988-01-11,42.5,0.0625
14593.0,1988-01-12,42.0,-0.0117647061124444
14593.0,1988-01-13,42.25,0.0059523810632526875
14593.0,1988-01-14,42.25,0.0
14593.0,1988-01-15,42.875,0.01479289960116148
14593.0,1988-01-18,42.75,-0.0029154520016163588
14593.0,1988-01-19,42.75,0.0
14593.0,1988-01-20,39.75,-0.07017543911933899
14593.0,1988-01-21,40.125,0.009433962404727936
14593.0,1988-01-22,39.25,-0.021806852892041206
14593.0,1988-01-25,40.875,0.041401274502277374
14593.0,1988-01-26,39.75,-0.027522936463356018
14593.0,1988-01-27,39.75,0.0
14593.0,1988-01-28,41.25,0.03773584961891174
14593.0,1988-01-29,41.5,0.0060606058686971664
14593.0,1988-02-01,41.75,0.0060240961611270905
14593.0,1988-02-02,41.25,-0.011976048350334167
14593.0,1988-02-03,39.5,-0.042424242943525314
14593.0,1988-02-04,39.75,0.006329114083200693
14593.0,1988-02-05,38.625,-0.028301887214183807
14593.0,1988-02-08,38.75,0.0032362460624426603
14593.0,1988-02-09,39.75,0.025806451216340065
14593.0,1988-02-10,41.0,0.03144654259085655
14593.0,1988-02-11,40.625,-0.009146341122686863
14593.0,1988-02-12,41.0,0.01119999960064888
14593.0,1988-02-16,41.25,0.006097560748457909
14593.0,1988-02-17,41.875,0.01515151560306549
14593.0,1988-02-18,41.75,-0.0029850746504962444
14593.0,1988-02-19,41.75,0.0
14593.0,1988-02-22,43.25,0.0359281450510025
14593.0,1988-02-23,42.75,-0.011560693383216858
14593.0,1988-02-24,42.25,-0.011695906519889832
14593.0,1988-02-25,41.75,-0.011834319680929184
14593.0,1988-02-26,41.75,0.0
14593.0,1988-02-29,43.0,0.02994011901319027
14593.0,1988-03-01,43.25,0.0058139534667134285
14593.0,1988-03-02,44.75,0.034682080149650574
14593.0,1988-03-03,46.5,0.03910614550113678
14593.0,1988-03-04,46.875,0.008064515888690948
14593.0,1988-03-07,46.875,0.0
14593.0,1988-03-08,46.25,-0.013333333656191826
14593.0,1988-03-09,46.75,0.010810811072587967
14593.0,1988-03-10,45.25,-0.03208556026220322
14593.0,1988-03-11,45.75,0.01104972418397665
14593.0,1988-03-14,46.25,0.01092896144837141
14593.0,1988-03-15,45.0,-0.027027027681469917
14593.0,1988-03-16,46.125,0.02500000037252903
